EUNIS2019C,EUNIS2019D,n_surveys,n_species,total_area,n_cells
MB11,MB11: Arctic infralittoral rock,1,9,0.0874307881896114,3864
MB12,MB12: Atlantic infralittoral rock,16107,2416,1.92611001842177,145716
MB13,MB13: Baltic infralittoral rock,1124,85,0.8223297019965732,40065
MB14,MB14: Black Sea infralittoral rock,1,22,0.025280600891416583,1160
MB15,MB15: Mediterranean infralittoral rock,54,103,0.19351379815451009,9910
MB22,MB22: Atlantic infralittoral biogenic habitat,361,780,0.0015166444649914715,68
MB221,MB221: Worm reefs in the Atlantic infralittoral zone,118,347,0.008513157310272494,410
MB2211,MB2211: Atlantic infralittoral [Sabellaria alveolata] reefs,32,84,7.433547475438826e-4,43
MB2212,MB2212: Atlantic infralittoral [Serpula vermicularis] reefs,402,541,1.175930537474773e-4,55
MB222,MB222: Bivalve reefs in the Atlantic infralittoral zone,664,1036,0.0049744507670891926,373
MB2221,MB2221: [Limaria hians] beds in tide-swept Atlantic infralittoral muddy mixed sediment,953,971,0.002213291285232423,236
MB2222,MB2222: [Ostrea edulis] beds on Atlantic infralittoral muddy mixed sediment,541,671,0.0020469493508115146,126
MB2223,MB2223: Mussel beds on Atlantic infralittoral sediment,226,316,0.003749307504892496,356
MB252,MB252: Biocenosis of [Posidonia oceanica],108,887,1.3175974930340246,52898
MB2523,"MB2523: Facies of dead ""mattes"" of [Posidonia oceanica] without much epiflora",4,118,0.03981049456159079,1550
MB31,Infralittoral,13,201,0.2545373169677524,10670
MB32,MB32: Atlantic infralittoral coarse sediment,3585,1915,1.0731961748140468,44712
MB33,MB33: Baltic infralittoral coarse sediment,1044,380,1.1647311313393864,45590
MB34,MB34: Black Sea infralittoral coarse sediment,116,121,0.5119365221694153,19705
MB35,MB35: Mediterranean infralittoral coarse sediment,37,281,0.32520625537816045,14501
MB42,MB42: Atlantic infralittoral mixed sediment,1000,1376,0.4777457415535323,19586
MB43,MB43: Baltic infralittoral mixed sediment,3604,375,3.3829677207310325,147423
MB44,MB44: Black Sea infralittoral mixed sediment,82,96,0.49813547483871734,18946
MB51,Infralittoral,18,155,0.4507034504093183,20087
MB52,MB52: Atlantic infralittoral sand,13141,1994,3.389004782363448,145532
MB53,MB53: Baltic infralittoral sand,4343,641,3.7716821302907024,148641
MB53 or MB63,MB53 or MB63: Baltic infralittoral sand or Baltic infralittoral mud,1654,105,0.7149759165998819,31541
MB54,MB54: Black Sea infralittoral sand,85,154,0.5181626235616047,23321
MB55,MB55: Mediterranean infralittoral sand,218,864,5.762842353843667,236690
MB61,Infralittoral,26,187,0.15543396314178065,24771
MB61,MB61: Arctic infralittoral mud,24,203,0.4370216308197051,24771
MB62,MB62: Atlantic infralittoral mud,5761,1730,0.8552809854058472,39545
MB63,MB63: Baltic infralittoral mud,2495,445,0.45697713950635555,19693
MB64,MB64: Black Sea infralittoral mud,64,113,0.2743868441690022,12141
MB65,MB65: Mediterranean infralittoral mud,124,623,1.7224107311470334,75513
MC11,MC11: Arctic circalittoral rock,4,128,1.5616819805588877,57608
MC12,MC12: Atlantic circalittoral rock,12728,2075,3.8960294795988273,185145
MC13,MC13: Baltic ciralittoral rock,1256,80,1.227615543388706,45441
MC151,MC151: Coralligenous biocenosis,20,332,0.30739997235296185,10988
MC22,MC22: Atlantic circalittoral biogenic habitat,17,231,7.339498402486786e-4,48
MC221,MC221: Worm reefs in the Atlantic circalittoral zone,69,325,0.01924559357239779,718
MC2211,MC2211: [Sabellaria spinulosa] on stable Atlantic circalittoral mixed sediment,360,943,0.06843541673960007,2686
MC223,MC223: Bivalve reefs in the Atlantic circalittoral zone,229,431,0.0033040086704890954,145
MC2235,MC2235: [Mytilus edulis] beds on Atlantic circalittoral sediment,337,443,0.00707604581475372,424
MC31,MC31: Arctic circalittoral coarse sediment,6,19,5.022728599646277,225472
MC31,Shallow circalittoral,11,137,1.0163641655049425,225472
MC32,MC32: Atlantic circalittoral coarse sediment,20831,2519,9.455162315646266,352458
MC33,MC33: Baltic circalittoral coarse sediment,816,257,1.6925669243711756,61969
MC34,MC34: Black Sea circalittoral coarse sediment,115,135,0.3962054052161143,14644
MC35,MC35: Mediterranean circalittoral coarse sediment,820,1389,13.841647124524206,513323
MC41,Shallow circalittoral,1,15,0.02832300750026261,12788
MC42,MC42: Atlantic circalittoral mixed sediment,2703,1468,1.0705448273548612,39987
MC43,MC43: Baltic circalittoral mixed sediment,6024,284,16.003270028305188,598920
MC44,MC44: Black Sea circalittoral mixed sediment,603,241,2.017583645145283,74676
MC45,MC45: Mediterranean circalittoral mixed sediment,67,418,0.6632150328902923,24588
MC451,MC451: Biocenosis of Mediterranean muddy detritic bottoms,235,742,6.404831609496694,237480
MC51,Shallow circalittoral,37,190,2.877793174849308,110558
MC52,MC52: Atlantic circalittoral sand,14930,2246,16.211799759258234,602140
MC53,MC53: Baltic circalittoral sand,1133,543,4.910555104828218,181584
MC53 or MC63,MC53 or MC63: Baltic circalittoral sand or Baltic circalittoral mud,2800,111,8.230413320137176,306974
MC54,MC54: Black Sea circalittoral sand,6,20,0.13217476682038778,4849
MC55,MC55: Mediterranean Circalittoral sand,54,306,0.6904671830203666,25561
MC61,MC61: Arctic circalittoral mud,31,257,2.6267717630644207,148204
MC61,Shallow circalittoral,31,231,1.3628118344894977,148204
MC62,MC62: Atlantic circalittoral mud,4877,1735,2.6724617583803925,100119
MC63,MC63: Baltic circalittoral mud,4637,447,4.72217272613572,177267
MC64,MC64: Black Sea circalittoral mud,872,264,2.7424164529430857,101460
MC651,MC651: Biocenosis of Mediterranean circalittoral coastal terrigenous muds,83,563,4.603955235878432,170611
MD11,Deep circalittoral,2,77,5.4128682108085036,201005
MD12,MD12: Atlantic offshore circalittoral rock,4350,1975,8.324131319119724,428614
MD22,MD22: Atlantic offshore circalittoral biogenic habitat,1606,1243,0.0952319157438005,3507
MD2211,MD2211: Atlantic offshore circalittoral [Lophelia pertusa] reefs,8,14,0.001079082820159572,36
MD32,MD32: Atlantic offshore circalittoral coarse sediment,25137,2922,40.31627354128729,1501734
MD33,MD33: Baltic offshore circalittoral coarse sediment,5,19,0.16695535769478106,5400
MD41,Deep circalittoral,3,122,8.957722111587987,328100
MD42,MD42: Atlantic offshore circalittoral mixed sediment,4158,1796,3.6398307058666135,135316
MD43,MD43: Baltic offshore circalittoral mixed sediment,112,83,3.8310155068872715,142179
MD44,MD44: Black Sea offshore circalittoral mixed sediment,396,193,2.259248623827447,83580
MD451,MD451: Biocenosis of Mediterranean open-sea detritic bottoms on shelf-edge,226,477,11.634017087783821,429713
MD52,MD52: Atlantic offshore circalittoral sand,15324,2564,72.7209241498918,2691169
MD53,MD53: Baltic offshore circalittoral sand,105,167,0.5186822477723787,19143
MD53 or MD63,MD53 or MD63: Baltic offshore circalittoral sand or Baltic offshore circalittoral mud,113,18,6.2022968815003265,229374
MD54,MD54: Black Sea offshore circalittoral sand,47,86,0.22275937736819496,8193
MD61,Deep circalittoral,16,227,36.08800475265648,1342655
MD62,MD62: Atlantic offshore circalittoral mud,11608,2367,46.812717542186284,1734975
MD63,MD63: Baltic offshore circalittoral mud,308,91,2.574443942058026,95554
MD64,MD64: Black Sea offshore circalittoral mud,178,147,3.2706154696574528,120931
ME11,ME11: Arctic upper bathyal rock,2,56,0.6379043508877044,23856
ME12,ME12: Atlantic upper bathyal rock,149,405,8.33856495983494,340535
ME22,ME22: Atlantic upper bathyal biogenic habitat,28,183,1.274939084397448e-4,7
ME31,ME31: Arctic upper bathyal coarse sediment,10,196,2.2569441807260753,84213
ME32,ME32: Atlantic upper bathyal coarse sediment,194,850,22.094170355774395,825819
ME41,ME41: Arctic upper bathyal mixed sediment,28,173,4.7097238198625355,174217
ME42,ME42: Atlantic upper bathyal mixed sediment,33,335,8.881022248017164,550188
ME42,No energy information,2,1,5.982598684256802,550188
ME51,ME51: Arctic upper bathyal sand,4,61,0.1933743808942827,6892
ME52,ME52: Atlantic upper bathyal sand,153,493,12.29379692658592,471700
ME54 or MF54,ME54 or MF54: Black Sea upper bathyal sand or Black Sea lower bathyal sand,19,70,0.13209779101065652,4878
ME55,ME55: Mediterranean upper bathyal sand,66,123,2.741688927347992,101674
ME61,ME61: Arctic upper bathyal mud,94,528,22.755186073831116,846376
ME62,ME62: Atlantic upper bathyal mud,493,1430,212.94525999361963,8299307
ME62,No energy information,8,52,11.265549134879926,8299307
ME64 or MF64,ME64 or MF64: Black Sea upper bathyal mud or Black Sea lower bathyal mud,41,81,23.50802878789816,869456
ME65,ME65: Mediterranean upper bathyal mud,120,202,20.91511470518098,774701
MF12,MF12: Atlantic lower bathyal rock,1,1,1.6149655668366258,59385
MF15,MF15: Mediterranean lower bathyal rock,1,1,0.4940864894802034,18099
MF42,MF42: Atlantic lower bathyal mixed sediment,33,3,3.6571040778151347,135721
MF52,MF52: Atlantic lower bathyal sand,27,6,3.06561200597527,113552
MF55,MF55: Mediterranean lower bathyal sand,104,84,1.393155850759474,51370
MF61,MF61: Arctic lower bathyal mud,43,151,30.130047280775297,1117821
MF62,MF62: Atlantic lower bathyal mud,54,59,78.65189095275521,2912174
MF65,MF65: Mediterranean lower bathyal mud,209,160,138.9820863236057,5141236
MG52,MG52: Atlantic abyssal sand,13,123,5.895932243447338,218548
MG61,MG61: Arctic abyssal mud,6,17,3.425101858224173,128062
MG62,MG62: Atlantic abyssal mud,36,153,193.65299334857946,7170834
MG65,MG65: Mediterranean abyssal mud,12,28,32.70715968837219,1209491
MB152,MB152: Biocoenosis of the Mediterranean euryhaline and/or eurythermal lagoon  on rock,0,0,0.00445310862397405,188
MB23,MB23: Baltic infralittoral biogenic habitat,0,0,7.536602725315322e-4,5
MB2522,"MB2522: Ecomorphosis of ""barrier-reef"" [Posidonia oceanica] meadows",0,0,4.3356345916060436e-7,NA
MB2531,MB2531: Facies with [Ficopomatus enigmaticus],0,0,0.007086020883676249,328
MB41,Infralittoral,0,0,0.0013777834763899141,1077
MB41,MB41: Arctic infralittoral mixed sediment,0,0,0.02605966299787012,1077
MB51,MB51: Arctic infralittoral sand,0,0,3.408266643914634e-4,20087
MB54 or MB64,MB54 or MB64: Black Sea infralittoral sand or Black Sea infralittoral mud,0,0,0.0011776541328375736,70
MB554,MB554: Assemblages of Mediterranean euryhaline and/or eurythermal lagoon biocenosis on sand,0,0,0.019940329954368754,985
MB554 or MB652,MB554 or MB652: Assemblages of Mediterranean euryhaline and/or eurythermal lagoon biocenosis on sand or Assemblages of the euryhaline and/or eurythermal lagoon biocenosis on mud,0,0,2.293674300360082e-5,NA
MB65 or MB55,MB65 or MB55: Mediterranean infralittoral mud or Mediterranean infralittoral sand,0,0,0.20929902504448594,9531
MB652,MB652: Assemblages of the euryhaline and/or eurythermal lagoon biocenosis on mud,0,0,0.07222032277340085,3201
MC14,MC14: Black Sea circalittoral rock,0,0,0.02288495595418803,833
MC2212,MC2212: [Serpula vermicularis] reefs on very sheltered Atlantic circalittoral muddy sand,0,0,3.271088350063624e-7,NA
MC23,MC23: Baltic circalittoral biogenic habitat,0,0,6.411330166766892e-6,NA
MC251,MC251: Coralligenous platforms,0,0,2.3135014471871868e-4,2
MC41,MC41: Arctic circalittoral mixed sediment,0,0,0.31054023625197613,12788
MC51,MC51: Arctic circalittoral sand,0,0,0.10696437510759084,110558
MC54 or MC64,MC54 or MC64: Black Sea circalittoral sand or Black Sea circalittoral mud,0,0,0.0010880902751465478,42
MC651 or MC451 or MC35,MC651 or MC451 or MC35: Biocenosis of Mediterranean circalittoral coastal terrigenous muds or Biocenosis of Mediterranean muddy detritic bottoms or Mediterranean circalittoral coarse sediment,0,0,0.36421034719957907,13516
MD13,MD13: Baltic offshore circalittoral rock,0,0,0.040697249364302614,1454
MD151,MD151: Biocenosis of Mediterranean shelf-edge rock,0,0,0.13311817701385809,4809
MD31,Deep circalittoral,0,0,4.554658512902268,169299
MD34,MD34: Black Sea offshore circalittoral coarse sediment,0,0,0.00361698734246411,126
MD51,Deep circalittoral,0,0,3.681212712012637,136045
MD54 or MD64,MD54 or MD64: Black Sea offshore circalittoral sand or Black Sea offshore circalittoral mud,0,0,4.987935532861716e-4,14
MD651,MD651: Biocenosis of Mediterranean offshore circalittoral coastal terrigenous muds,0,0,3.5683489354208295,131794
MD651 or MD451,MD651 or MD451: Biocenosis of Mediterranean offshore circalittoral coastal terrigenous muds or Biocenosis of Mediterranean open-sea detritic bottoms on shelf-edge,0,0,0.13636693099772634,4977
ME15,ME15: Mediterranean upper bathyal rock,0,0,0.21177069751916297,7800
ME21,ME21: Arctic upper bathyal biogenic habitat,0,0,0.012775023574236502,497
ME221,ME221: Atlantic upper bathyal cold water coral reef,0,0,0.07850834509632454,3159
ME25,ME25: Mediterranean Upper bathyal biogenic habitat,0,0,1.0799358807966662e-5,NA
ME32,No energy information,0,0,0.1096363720621576,825819
ME34 or MF34,ME34 or MF34: Black Sea upper bathyal coarse sediment or Black Sea lower bathyal coarse sediment,0,0,0.0022646599718916154,81
ME35,ME35: Mediterranean upper bathyal coarse sediment,0,0,0.0312343082572195,1148
ME44 or MF44,ME44 or MF44: Black Sea upper bathyal mixed sediment or Black Sea lower bathyal mixed sediment,0,0,0.17418725379857594,6412
ME45,ME45: Mediterranean upper bathyal mixed sediment,0,0,0.3827204698567779,14175
ME52,No energy information,0,0,0.47980066629385587,471700
ME54 or MF54 or ME64 or MF64,ME54 or MF54 or ME64 or MF64: Black Sea upper bathyal sand or Black Sea lower bathyal sand or Black Sea upper bathyal mud or Black Sea lower bathyal mud,0,0,0.11066459467779341,4096
ME65 or ME55,ME65 or  ME55: Mediterranean upper bathyal mud or Mediterranean upper bathyal sand,0,0,0.5318712157724821,19703
MF11,MF11: Arctic lower bathyal rock,0,0,0.1912901224313262,6825
MF221,MF221: Atlantic lower bathyal cold water coral reef,0,0,0.0030890449750859746,112
MF25,Lower bathyal,0,0,2.7679533905633024e-6,NA
MF31,MF31: Arctic lower bathyal coarse sediment,0,0,0.07320144002500134,2696
MF32,MF32: Atlantic lower bathyal coarse sediment,0,0,2.537837758693976,94096
MF35,MF35: Mediterranean lower bathyal coarse sediment,0,0,0.09441517526162764,3427
MF41,MF41: Arctic lower bathyal mixed sediment,0,0,1.9889908505917058,73862
MF45,MF45: Mediterranean lower bathyal mixed sediment,0,0,0.05838074155056842,2147
MF51,MF51: Arctic lower bathyal sand,0,0,6.110136769275711e-4,24
MF65 or MF55,MF65 or MF55: Mediterranean lower bathyal mud or Mediterranean lower bathyal sand,0,0,1.9842687095390963,73459
MG11,MG11: Arctic abyssal rock,0,0,0.013720639983680052,494
MG12,MG12: Atlantic abyssal rock,0,0,2.4773855919851533,93675
MG15,MG15: Mediterranean abyssal rock,0,0,0.009118887136539591,332
MG32,MG32: Atlantic abyssal coarse sediment,0,0,0.12340092674059173,4596
MG35,MG35: Mediterranean abyssal coarse sediment,0,0,0.13923541952280216,5160
MG41,MG41: Arctic abyssal mixed sediment,0,0,0.2469749594915484,9206
MG42,MG42: Atlantic abyssal mixed sediment,0,0,1.0494020373528725,38867
MG44,MG44: Black Sea abyssal mixed sediment,0,0,0.00399325311478947,147
MG54,MG54: Black Sea abyssal sand,0,0,0.01858053673737363,687
MG54 or MG64,MG54 or MG64: Black Sea abyssal sand or Black Sea abyssal mud,0,0,0.0012767127085872658,49
MG55,MG55: Mediterranean abyssal sand,0,0,0.4078251573495334,15065
MG64,MG64: Black Sea abyssal mud,0,0,11.055915122510088,408860
